"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club_missed_games_for","age_at_injury","position"
"Brahim Díaz","https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678","24/25","unknown injury","2025-06-03","2025-06-09","7 days",2,"Morocco",25,"Attack - Right Winger"
"Brahim Díaz","https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678","24/25","Torn muscle fiber in the adductor area","2025-05-14","2025-05-23","10 days",2,"Real Madrid",25,"Attack - Right Winger"
"Brahim Díaz","https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678","24/25","Hamstring injury","2024-09-14","2024-10-25","42 days",11,"Real Madrid, Morocco",25,"Attack - Right Winger"
"Brahim Díaz","https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678","22/23","Knee injury","2023-03-03","2023-03-06","4 days",1,"AC Milan",23,"Attack - Right Winger"
"Brahim Díaz","https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678","22/23","Contracture","2022-10-22","2022-10-25","4 days",2,"AC Milan",23,"Attack - Right Winger"
"Brahim Díaz","https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678","21/22","Corona virus","2021-10-15","2021-10-27","13 days",4,"AC Milan",22,"Attack - Right Winger"
"Brahim Díaz","https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678","20/21","unknown injury","2021-03-31","2021-04-07","8 days",1,"AC Milan",21,"Attack - Right Winger"
"Brahim Díaz","https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678","20/21","Thigh problems","2021-01-27","2021-02-20","25 days",7,"AC Milan, Morocco",21,"Attack - Right Winger"
"Brahim Díaz","https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678","19/20","Hamstring injury","2019-08-20","2019-09-13","25 days",6,"Real Madrid, Morocco",20,"Attack - Right Winger"
"Brahim Díaz","https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678","19/20","Hamstring injury","2019-07-13","2019-08-16","35 days",0,NA,19,"Attack - Right Winger"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","24/25","Patellar tendon rupture","2024-09-23","2025-04-24","214 days",51,"FC Barcelona, Germany",32,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","23/24","Back injury","2023-11-17","2024-02-10","86 days",19,"FC Barcelona, Germany",31,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","22/23","Stomach flu","2022-11-14","2022-11-19","6 days",1,"Germany",30,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","21/22","cold","2022-05-06","2022-05-09","4 days",1,"FC Barcelona",30,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","20/21","Knee surgery","2021-05-17","2021-08-28","104 days",9,"FC Barcelona, Germany",29,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","20/21","Rest","2020-12-01","2020-12-03","3 days",1,"FC Barcelona",28,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","20/21","Knee injury","2020-08-17","2020-11-03","79 days",13,"FC Barcelona, Germany",28,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","19/20","Knee injury","2019-12-30","2020-01-10","12 days",2,"FC Barcelona",27,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","18/19","Knee problems","2019-05-16","2019-06-16","32 days",4,"FC Barcelona, Germany",27,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","18/19","Shoulder injury","2018-11-12","2018-11-20","9 days",2,"Germany",26,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","17/18","Knee problems","2018-03-24","2018-03-29","6 days",1,"Germany",25,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","16/17","Muscle injury","2016-09-08","2016-09-12","5 days",1,"FC Barcelona",24,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","16/17","Knee injury","2016-08-11","2016-08-25","15 days",3,"FC Barcelona",24,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","15/16","Knee problems","2015-11-30","2015-12-03","4 days",1,"FC Barcelona",23,"Goalkeeper"
"Marc-André ter Stegen","https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857","15/16","Dental surgery","2015-11-09","2015-11-16","8 days",1,"Germany",23,"Goalkeeper"
"Iñaki Peña","https://www.transfermarkt.com/inaki-pena/profil/spieler/283170","21/22","unknown injury","2022-04-30","2022-05-21","22 days",4,"Galatasaray",23,"Goalkeeper"
"Iñaki Peña","https://www.transfermarkt.com/inaki-pena/profil/spieler/283170","21/22","Corona virus","2022-01-19","2022-01-26","8 days",2,"FC Barcelona B",22,"Goalkeeper"
"Iñaki Peña","https://www.transfermarkt.com/inaki-pena/profil/spieler/283170","18/19","Knee injury","2018-08-17","2018-08-31","15 days",1,"FC Barcelona B",19,"Goalkeeper"
"Iñaki Peña","https://www.transfermarkt.com/inaki-pena/profil/spieler/283170","16/17","Ill","2016-11-21","2016-11-25","5 days",0,NA,17,"Goalkeeper"
"Iñaki Peña","https://www.transfermarkt.com/inaki-pena/profil/spieler/283170","16/17","surgery","2016-06-30","2016-10-29","122 days",5,"Spain U21",17,"Goalkeeper"
"Wojciech Szczesny","https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058","23/24","unknown injury","2023-08-26","2023-09-01","7 days",1,"Juventus FC",33,"Goalkeeper"
"Wojciech Szczesny","https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058","22/23","Chest injury","2023-04-13","2023-04-15","3 days",1,"Juventus FC",32,"Goalkeeper"
"Wojciech Szczesny","https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058","22/23","Ankle sprain","2022-08-31","2022-09-18","19 days",6,"Juventus FC",32,"Goalkeeper"
"Wojciech Szczesny","https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058","22/23","Adductor injury","2022-07-30","2022-08-26","28 days",2,"Juventus FC",32,"Goalkeeper"
"Wojciech Szczesny","https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058","21/22","Bruised ribs","2021-11-05","2021-11-07","3 days",1,"Juventus FC",31,"Goalkeeper"
"Wojciech Szczesny","https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058","19/20","muscular problems","2019-12-14","2019-12-20","7 days",2,"Juventus FC",29,"Goalkeeper"
"Wojciech Szczesny","https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058","15/16","Hamstring injury","2016-06-13","2016-08-01","50 days",4,"Poland",26,"Goalkeeper"
"Wojciech Szczesny","https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058","15/16","Finger injury","2015-09-17","2015-09-28","12 days",3,"AS Roma",25,"Goalkeeper"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","24/25","Sore muscles","2025-04-02","2025-04-07","6 days",2,"FC Barcelona",33,"Defender - Centre-Back"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","24/25","Meniscus irritation","2025-03-16","2025-03-25","10 days",1,"FC Barcelona",33,"Defender - Centre-Back"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","24/25","Hamstring injury","2025-01-12","2025-01-31","20 days",6,"FC Barcelona",33,"Defender - Centre-Back"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","23/24","Muscle injury","2024-01-08","2024-02-02","26 days",7,"FC Barcelona",32,"Defender - Centre-Back"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","23/24","Hamstring injury","2023-12-04","2024-01-06","34 days",5,"FC Barcelona",32,"Defender - Centre-Back"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","23/24","Foot injury","2023-07-17","2023-08-31","46 days",3,"FC Barcelona",32,"Defender - Centre-Back"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","22/23","Calf strain","2023-04-25","2023-06-19","56 days",10,"Athletic Bilbao, Spain",31,"Defender - Centre-Back"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","22/23","Heel spur","2023-01-02","2023-02-28","58 days",11,"Athletic Bilbao",31,"Defender - Centre-Back"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","22/23","Knee problems","2022-07-31","2022-09-03","35 days",3,"Athletic Bilbao",31,"Defender - Centre-Back"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","21/22","muscular problems","2022-03-08","2022-04-20","44 days",7,"Athletic Bilbao, Spain",30,"Defender - Centre-Back"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","21/22","Corona virus","2021-12-17","2021-12-29","13 days",2,"Athletic Bilbao",30,"Defender - Centre-Back"
"Iñigo Martínez","https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863","21/22","stomach problems","2021-10-26","2021-10-27","2 days",1,"Athletic Bilbao",30,"Defender - Centre-Back"
