"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club_missed_games_for","age_at_injury","position"
"Gianluigi Donnarumma","https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","24/25","Facial injury","2024-12-19","2025-01-03","16 days",1,"Paris Saint-Germain",25,"Goalkeeper"
"Gianluigi Donnarumma","https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","21/22","Corona virus","2022-01-10","2022-01-14","5 days",0,NA,22,"Goalkeeper"
"Gianluigi Donnarumma","https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","21/22","Fitness","2021-07-14","2021-08-16","34 days",3,"Paris Saint-Germain",22,"Goalkeeper"
"Gianluigi Donnarumma","https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","20/21","Corona virus","2020-10-26","2020-10-30","5 days",2,"AC Milan",21,"Goalkeeper"
"Gianluigi Donnarumma","https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","19/20","Ankle sprain","2020-02-22","2020-03-09","17 days",2,"AC Milan",20,"Goalkeeper"
"Gianluigi Donnarumma","https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","19/20","Contracture","2020-01-12","2020-01-18","7 days",1,"AC Milan",20,"Goalkeeper"
"Gianluigi Donnarumma","https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","19/20","stomach problems","2019-10-05","2019-10-06","2 days",1,"AC Milan",20,"Goalkeeper"
"Gianluigi Donnarumma","https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","18/19","Hamstring muscle injury","2019-05-26","2019-06-30","36 days",3,"AC Milan, Italy",20,"Goalkeeper"
"Gianluigi Donnarumma","https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","18/19","strain","2019-04-03","2019-04-16","14 days",2,"AC Milan",20,"Goalkeeper"
"Gianluigi Donnarumma","https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","17/18","Adductor pain","2017-12-27","2017-12-29","3 days",1,"AC Milan",18,"Goalkeeper"
