"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club_missed_games_for","age_at_injury","position"
"Matteo Ruggeri","https://www.transfermarkt.com/matteo-ruggeri/profil/spieler/616631","24/25","flu","2025-02-11","2025-02-13","3 days",1,"Atalanta BC",22,"Midfield - Left Midfield"
"Matteo Ruggeri","https://www.transfermarkt.com/matteo-ruggeri/profil/spieler/616631","24/25","Foot bruise","2024-12-23","2024-12-30","8 days",1,"Atalanta BC",22,"Midfield - Left Midfield"
"Matteo Ruggeri","https://www.transfermarkt.com/matteo-ruggeri/profil/spieler/616631","24/25","Knee problems","2024-09-30","2024-10-15","16 days",3,"Atalanta BC, Italy U21",22,"Midfield - Left Midfield"
"Matteo Ruggeri","https://www.transfermarkt.com/matteo-ruggeri/profil/spieler/616631","23/24","Ankle problems","2023-11-07","2023-11-23","17 days",4,"Atalanta BC, Italy U21",21,"Midfield - Left Midfield"
"Matteo Ruggeri","https://www.transfermarkt.com/matteo-ruggeri/profil/spieler/616631","22/23","muscular problems","2023-04-08","2023-06-30","84 days",13,"Atalanta BC, Italy U21",20,"Midfield - Left Midfield"
"Matteo Ruggeri","https://www.transfermarkt.com/matteo-ruggeri/profil/spieler/616631","21/22","unknown injury","2022-04-08","2022-04-22","15 days",3,"US Salernitana 1919",19,"Midfield - Left Midfield"
"Matteo Ruggeri","https://www.transfermarkt.com/matteo-ruggeri/profil/spieler/616631","21/22","muscular problems","2022-01-21","2022-03-03","42 days",5,"US Salernitana 1919",19,"Midfield - Left Midfield"
"Matteo Ruggeri","https://www.transfermarkt.com/matteo-ruggeri/profil/spieler/616631","21/22","Muscle injury","2021-09-12","2022-01-15","126 days",27,"US Salernitana 1919, Italy U21",19,"Midfield - Left Midfield"
"Matteo Ruggeri","https://www.transfermarkt.com/matteo-ruggeri/profil/spieler/616631","20/21","unknown injury","2020-12-13","2021-01-01","20 days",4,"Atalanta BC",18,"Midfield - Left Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","24/25","Hamstring muscle injury","2025-05-04","2025-05-23","20 days",3,"Atalanta BC",36,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","24/25","Hamstring muscle injury","2025-03-09","2025-03-29","21 days",2,"Atalanta BC",36,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","24/25","Hamstring muscle injury","2024-12-31","2025-01-20","21 days",4,"Atalanta BC",36,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","24/25","muscular problems","2024-12-04","2024-12-12","9 days",2,"Atalanta BC",36,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","23/24","Muscle fatigue","2024-04-19","2024-04-27","9 days",1,"Inter Milan",35,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","23/24","Achilles tendon surgery","2023-12-20","2024-04-14","117 days",21,"Inter Milan",35,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","23/24","Achilles tendon irritation","2023-12-15","2023-12-20","6 days",2,"Inter Milan",35,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","23/24","Achilles tendon irritation","2023-10-12","2023-11-23","43 days",6,"Inter Milan",35,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","23/24","Achilles tendon irritation","2023-09-18","2023-10-01","14 days",4,"Inter Milan",35,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","22/23","flu","2023-02-11","2023-02-15","5 days",1,"Juventus FC",34,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","22/23","Muscle fatigue","2023-01-27","2023-01-31","5 days",1,"Juventus FC",34,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","22/23","Knee problems","2022-12-10","2023-01-20","42 days",4,"Juventus FC",34,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","21/22","Adductor injury","2022-04-24","2022-05-05","12 days",2,"Juventus FC",33,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","20/21","Hamstring muscle injury","2021-02-14","2021-03-06","21 days",5,"Juventus FC",32,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","20/21","Corona virus","2021-01-05","2021-01-20","16 days",5,"Juventus FC",32,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","18/19","Meniscus injury","2018-12-12","2019-04-10","120 days",25,"Juventus FC, Colombia",30,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","17/18","Pubalgia","2017-12-28","2018-03-30","93 days",18,"Juventus FC, Colombia",29,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","17/18","minor knock","2017-12-14","2017-12-14","1 days",0,NA,29,"Midfield - Right Midfield"
"Juan Cuadrado","https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970","17/18","Muscle fatigue","2017-11-13","2017-11-16","4 days",1,"Colombia",29,"Midfield - Right Midfield"
"Santiago Gimenez","https://www.transfermarkt.com/santiago-gimenez/profil/spieler/552955","24/25","bruise","2025-04-07","2025-04-16","10 days",1,"AC Milan",23,"Attack - Centre-Forward"
"Santiago Gimenez","https://www.transfermarkt.com/santiago-gimenez/profil/spieler/552955","24/25","Thigh problems","2024-09-22","2024-11-25","65 days",15,"Feyenoord Rotterdam, Mexico",23,"Attack - Centre-Forward"
"Santiago Gimenez","https://www.transfermarkt.com/santiago-gimenez/profil/spieler/552955","23/24","Muscle injury","2024-05-10","2024-06-01","23 days",3,"Feyenoord Rotterdam, Mexico",23,"Attack - Centre-Forward"
"Santiago Gimenez","https://www.transfermarkt.com/santiago-gimenez/profil/spieler/552955","23/24","minor knock","2024-04-26","2024-05-02","7 days",0,NA,23,"Attack - Centre-Forward"
"Santiago Gimenez","https://www.transfermarkt.com/santiago-gimenez/profil/spieler/552955","23/24","Calf injury","2024-02-10","2024-02-14","5 days",1,"Feyenoord Rotterdam",22,"Attack - Centre-Forward"
"Santiago Gimenez","https://www.transfermarkt.com/santiago-gimenez/profil/spieler/552955","22/23","Hamstring injury","2023-03-08","2023-03-11","4 days",1,"Feyenoord Rotterdam",21,"Attack - Centre-Forward"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","24/25","Thigh problems","2025-05-15","2025-05-22","8 days",1,"AC Milan",27,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","24/25","Rest","2024-12-02","2024-12-05","4 days",1,"AC Milan",27,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","23/24","flu","2024-05-17","2024-05-21","5 days",1,"AC Milan",26,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","23/24","Bruise on ankle","2023-11-04","2023-11-07","4 days",2,"AC Milan",26,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","23/24","Muscle fatigue","2023-09-22","2023-09-25","4 days",1,"AC Milan",25,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","22/23","flu","2023-03-17","2023-03-21","5 days",1,"AC Milan",25,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","22/23","Muscle fatigue","2023-01-23","2023-01-27","5 days",1,"AC Milan",25,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","22/23","Adductor injury","2022-09-19","2022-10-06","18 days",4,"AC Milan, France",24,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","21/22","Fever","2021-12-15","2021-12-20","6 days",1,"AC Milan",24,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","21/22","Corona virus","2021-10-13","2021-10-24","12 days",3,"AC Milan",24,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","20/21","Muscle fatigue","2021-04-20","2021-04-26","7 days",2,"AC Milan",23,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","20/21","Stomach flu","2021-03-11","2021-03-12","2 days",1,"AC Milan",23,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","20/21","Shin bruise","2021-03-03","2021-03-11","9 days",3,"AC Milan",23,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","20/21","Quarantine","2021-01-17","2021-01-21","5 days",1,"AC Milan",23,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","19/20","Capsular tear of ankle joint","2019-07-24","2019-09-15","54 days",5,"AC Milan, France",21,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","18/19","Back problems","2019-04-19","2019-04-24","6 days",1,"Real Sociedad",21,"Defender - Left-Back"
"Theo Hernández","https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808","17/18","Shoulder injury","2017-09-18","2017-10-09","22 days",5,"Real Madrid, France",19,"Defender - Left-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","24/25","Cruciate ligament tear","2024-07-28","2025-03-06","222 days",41,"AC Milan",33,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","23/24","Adductor injury","2024-01-07","2024-01-18","12 days",3,"AC Milan",32,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","22/23","unknown injury","2023-05-18","2023-05-26","9 days",1,"AC Milan",32,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","22/23","muscular problems","2023-05-05","2023-05-16","12 days",4,"AC Milan",32,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","22/23","Fever","2023-04-29","2023-05-02","4 days",1,"AC Milan",32,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","22/23","Fitness","2023-02-20","2023-02-27","8 days",1,"AC Milan",31,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","22/23","Hamstring injury","2022-08-29","2023-02-28","184 days",30,"AC Milan",31,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","21/22","Meniscus injury","2022-04-04","2022-05-05","32 days",6,"AC Milan",31,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","21/22","Meniscus injury","2021-09-30","2021-11-04","36 days",9,"AC Milan, Italy",30,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","21/22","Knee bruise","2021-09-24","2021-09-27","4 days",1,"AC Milan",30,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","21/22","Calf injury","2021-06-10","2021-07-05","26 days",1,"Italy",30,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","20/21","Corona virus","2021-04-01","2021-04-12","12 days",3,"Paris Saint-Germain",30,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","20/21","Muscle fatigue","2021-03-29","2021-04-05","8 days",2,"Paris Saint-Germain, Italy",30,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","20/21","Adductor pain","2021-03-11","2021-03-18","8 days",2,"Paris Saint-Germain",30,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","20/21","Adductor pain","2021-02-22","2021-03-08","15 days",3,"Paris Saint-Germain",29,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","20/21","Rest","2020-10-29","2020-11-02","5 days",1,"Paris Saint-Germain",29,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","19/20","chickenpox","2020-02-17","2020-03-02","15 days",3,"Valencia CF",28,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","19/20","influenza","2019-10-03","2019-10-14","12 days",3,"AS Roma, Italy",28,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","18/19","Calf muscle tear","2019-03-21","2019-04-11","22 days",5,"AS Roma, Italy",28,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","18/19","influenza","2019-01-10","2019-01-21","12 days",2,"AS Roma",27,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","18/19","Knee injury","2018-08-27","2018-09-13","18 days",4,"AS Roma, Italy",27,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","17/18","stomach problems","2018-02-19","2018-02-19","1 days",0,NA,26,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","17/18","Inflammation in the knee","2017-11-16","2017-11-23","8 days",2,"AS Roma",26,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","16/17","Cruciate ligament tear","2017-02-16","2017-08-21","187 days",25,"AS Roma, Italy",25,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","16/17","Cruciate ligament tear","2016-10-27","2017-02-13","110 days",21,"AS Roma, Italy",25,"Defender - Right-Back"
"Alessandro Florenzi","https://www.transfermarkt.com/alessandro-florenzi/profil/spieler/130365","16/17","Calf problems","2016-08-18","2016-08-22","5 days",1,"AS Roma",25,"Defender - Right-Back"
